Exercise Number,Question Text,Chapter_name
Exercise 2.28,Explain the following definitions. Identify any that are illegal.,Variable and Basic types
Exercise 2.29,"Uing the variables in the previous exercise, which of the following as-",Variable and Basic types
Exercise 2.30,For each of the following declarations indicate whether the object being,Variable and Basic types
Exercise 2.31,Given the declarations in the previous exercise determine whether the,Variable and Basic types
Exercise 2.32,"Is the following code legal or not? If not, how might you make it legal?",Variable and Basic types
Exercise 2.33,"Using the variable definitions from this section, determine what hap",Variable and Basic types
Exercise 2.34,Write a program containing the variables and assignments from the,Variable and Basic types
Exercise 2.35,Determine the types deduced in each of the following definitions. Once,Variable and Basic types
Exercise 2.36,"In the following code, determine the type of each variable and the value",Variable and Basic types
Exercise 2.37,Assignment is an example of an expression that yields a reference type.,Variable and Basic types
Exercise 2.38,Describe the differences in type deduction between decltype and,Variable and Basic types
Exercise 2.39,Compile the following program to see what happens when you forget.,Variable and Basic types
Exercise 2.40,Write your own version of the Sales_data class..,Variable and Basic types
Exercise 2.41,"Use your Sales_data class to rewrite the exercises in S 1.5.1 (p. 22),",Variable and Basic types
Exercise 2.42,Write your own version of the Sales_data.h header and use it to.,Variable and Basic types
Exercise 3.1,Rewrite the exercises from  1.4.1 (p. 13) and S 2.6.2 (p. 76) with appro,"Strings, Vectors, and Arrays"
Exercise 3.2,Write a program to read the standard input a line at a time. Modify your,"Strings, Vectors, and Arrays"
Exercise 3.3,Explain how whitespace characters are handled in the string input op-.,"Strings, Vectors, and Arrays"
Exercise 3.4,Write a program to read two strings and report whether the strings.,"Strings, Vectors, and Arrays"
Exercise 3.5,"Write a program to read strings from the standard input, concatenat-","Strings, Vectors, and Arrays"
Exercise 3.6,Use a range for to change all the characters in a string to X.,"Strings, Vectors, and Arrays"
Exercise 3.7,What would happen if you define the loop control variable in the previ-,"Strings, Vectors, and Arrays"
Exercise 3.8,"Rewrite the program in the first exercise, first using a whi1e and again","Strings, Vectors, and Arrays"
Exercise 3.9,"What does the following program do? Is it valid? If not, why not?.","Strings, Vectors, and Arrays"
Exercise 3.10,Write a program that reads a string of characters including punctuation,"Strings, Vectors, and Arrays"
Exercise 3.11,"Is the following range for legal? If so, what is the type of c?","Strings, Vectors, and Arrays"
Exercise 3.12,"Which, if any, of the following vector definitions are in error? For.","Strings, Vectors, and Arrays"
Exercise 3.13,How many elements are there in each of the following vectors? What,"Strings, Vectors, and Arrays"
Exercise 3.14,Write a program to read a sequence of ints from cin and store those,"Strings, Vectors, and Arrays"
Exercise 3.15,Repeat the previous program but read strings this time.,"Strings, Vectors, and Arrays"
Exercise 3.16,Write a program to print the size and contents of the vectors from,"Strings, Vectors, and Arrays"
Exercise 3.17,Read a sequence of words from cin and store the values a vector. Af-,"Strings, Vectors, and Arrays"
Exercise 3.18,"Is the following program legal? If not, how might you fix it?","Strings, Vectors, and Arrays"
Exercise 3.19,"List three ways to define a vector and give it ten elements, each with","Strings, Vectors, and Arrays"
Exercise 3.20,Read a set of integers into a vector. Print the sum of each pair of,"Strings, Vectors, and Arrays"
Exercise 3.21,Redo the first exercise from $ 3.3.3 (p. 105) using iterators.,"Strings, Vectors, and Arrays"
Exercise 3.22,Revise the loop that printed the first paragraph in text to instead,"Strings, Vectors, and Arrays"
Exercise 3.23,Write a program to create a vector with ten int elements. Using an.,"Strings, Vectors, and Arrays"
Exercise 3.24,Redo the last exercise from S 3.3.3 (p. 105) using iterators.,"Strings, Vectors, and Arrays"
Exercise 3.25,Rewrite the grade clustering program from S 3.3.3 (p. 104) using itera-,"Strings, Vectors, and Arrays"
Exercise 3.26,"In the binary search program on page 112, why did we write mid = beg","Strings, Vectors, and Arrays"
Exercise 3.27,Assuming txt_si ze is a function that takes no arguments and returns.,"Strings, Vectors, and Arrays"
Exercise 3.28,What are the values in the following arrays?.,"Strings, Vectors, and Arrays"
Exercise 3.29,List some of the drawbacks of using an array instead of a vector.,"Strings, Vectors, and Arrays"
Exercise 3.30,Identify the indexing errors in the following code:,"Strings, Vectors, and Arrays"
Exercise 3.31,Write a program to define an array of ten ints. Give each element the.,"Strings, Vectors, and Arrays"
Exercise 3.32,Copy the array you defined in the previous exercise into another array.,"Strings, Vectors, and Arrays"
Exercise 3.33,What would happen if we did not initialize the scores array in the,"Strings, Vectors, and Arrays"
Exercise 3.34,"Given that p1 and p2 point to elements in the same array, what does","Strings, Vectors, and Arrays"
Exercise 3.35,"Using pointers, write a program to set the elements in an array to zero.","Strings, Vectors, and Arrays"
Exercise 3.36,Write a program to compare two arrays for equality. Write a similar,"Strings, Vectors, and Arrays"
Exercise 3.37,What does the following program do?,"Strings, Vectors, and Arrays"
Exercise 3.38,"In this section, we noted that it was not only illegal but meaningless to.","Strings, Vectors, and Arrays"
Exercise 3.39,Write a program to compare two strings. Now write a program to.,"Strings, Vectors, and Arrays"
Exercise 3.40,Write a program to define two character arrays initialized from string,"Strings, Vectors, and Arrays"
Exercise 3.41,Write a program to initialize a vector from an array of ints.,"Strings, Vectors, and Arrays"
Exercise 3.42,Write a program to copy a vector of ints into an array of ints.,"Strings, Vectors, and Arrays"
Exercise 3.43,Write three different versions of a program to print the elements of ia..,"Strings, Vectors, and Arrays"
Exercise 3.44,Rewrite the programs from the previous exercises using a type alias for,"Strings, Vectors, and Arrays"
Exercise 3.45,"Rewrite the programs again, this time using auto.","Strings, Vectors, and Arrays"
Exercise 4.1,What is the value returned by 5 + 10 * 20/2?,Expressions
Exercise 4.2,"Using Table 4.12 (p. 166), parenthesize the following expressions to indi-",Expressions
Exercise 4.3,Order of evaluation for most of the binary operators is left undefined,Expressions
Exercise 4.4,Parenthesize the following expression to show how it is evaluated. Test,Expressions
Exercise 4.5,Determine the result of the following expressions..,Expressions
Exercise 4.6,Write an expression to determine whether an int value is even or odd,Expressions
Exercise 4.7,What does overflow mean? Show three expressions that will overflow.,Expressions
Exercise 4.8,"Explain when operands are evaluated in the logical AND, logical OR, and",Expressions
Exercise 4.9,Explain the behavior of the condition in the following if:.,Expressions
Exercise 4.10,Write the condition for a while loop that would read ints from the,Expressions
Exercise 4.11,"Write an expression that tests four values, a, b, c, and d, and ensures.",Expressions
Exercise 4.12,"Assuming i, j, and k are all ints, explain what i != j < k means.",Expressions
Exercise 4.13,What are the values of i and d after each assignment?,Expressions
Exercise 4.14,Explain what happens in each of the if tests:,Expressions
Exercise 4.15,The following assignment is illegal. Why? How would you correct it?.,Expressions
Exercise 4.16,"Although the following are legal, they probably do not behave as the",Expressions
Exercise 4.17,Explain the difference between prefix and postfix increment..,Expressions
Exercise 4.18,What would happen if the whi1e loop on page 148 that prints the ele,Expressions
Exercise 4.19,"Given that ptr points to an int, that vec is a vector<int >, and that.",Expressions
Exercise 4.20,Assuming that iter is a vector.,Expressions
Exercise 4.21,Write a program to use a conditional operator to find the elements in a,Expressions
Exercise 4.22,"Extend the program that assigned high pass, pass, and fail grades to",Expressions
Exercise 4.23,The following expression fails to compile due to operator precedence.,Expressions
Exercise 4.24,"Our program that distinguished between high pass, pass, and fail de-",Expressions
Exercise 4.25,What is the value of ~' q' << 6 on a machine with 32-bit ints and 8 bit,Expressions
Exercise 4.26,"In our grading example in this section, what would happen if we used",Expressions
Exercise 4.27,What is the result of each of these expressions?,Expressions
Exercise 4.28,Write a program to print the size of each of the built-in types.,Expressions
Exercise 4.29,Predict the output of the following code and explain your reasoning.,Expressions
Exercise 4.30,"Using Table 4.12 (p.166), parenthesize the following expressions to",Expressions
Exercise 4.31,The program in this section used the prefix increment and decrement,Expressions
Exercise 4.32,Explain the following loop,Expressions
Exercise 4.33,Using Table 4.12 (p. 166) explain what the following expression does:,Expressions
Exercise 4.34,"Given the variable definitions in this section, explain what conversions",Expressions
Exercise 4.35,"Given the following definitions,",Expressions
Exercise 4.36,Assuming i is an int and d is a double write the expression i *= d so,Expressions
Exercise 4.37,Rewrite each of the following old-style casts to use a named cast,Expressions
Exercise 4.38,Explain the following expression:,Expressions
Exercise 5.1,What is a null statement? When might you use a null statement?,Statements
Exercise 5.2,What is a block? When might you might use a block?,Statements
Exercise 5.3,"Use the comma operator (S 4.10, p. 157) to rewrite the whi1e loop from",Statements
Exercise 5.4,"Explain each of the following examples, and correct any problems you",Statements
Exercise 5.5,"Using an if-else statement, write your own version of the program to.",Statements
Exercise 5.6,"Rewrite your grading program to use the conditional operator (S 4.7,",Statements
Exercise 5.7,Correct the errors in each of the following code fragments:,Statements
Exercise 5.8,"What is a ""dangling else""? How are else clauses resolved in C++?",Statements
Exercise 5.9,Write a program using a series of if statements to count the number of.,Statements
Exercise 5.10,There is one problem with our vowel-counting program as we've im-,Statements
Exercise 5.11,Modify our vowel-counting program so that it also counts the number.,Statements
Exercise 5.12,Modify our vowel-counting program so that it counts the number of,Statements
Exercise 5.13,Each of the programs in the highlighted text on page 184 contains a.,Statements
Exercise 5.14,Write a program to read strings from standard input looking for du-,Statements
Exercise 5.15,Explain each of the following loops. Correct any problems you detect.,Statements
Exercise 5.16,The whi 1e loop is particularly good at executing while some condition,Statements
Exercise 5.17,"Given two vectors of ints, write a program to determine whether.",Statements
Exercise 5.18,Explain each of the following loops. Correct any problems you detect..,Statements
Exercise 5.19,Write a program that uses a do whi 1e loop to repetitively request two.,Statements
Exercise 5.20,Write a program to read a sequence of strings from the standard input,Statements
Exercise 5.21,Revise the program from the exercise in S 5.5.1 (p. 191) so that it looks,Statements
Exercise 5.22,The last example in this section that jumped back to begin could be.,Statements
Exercise 5.23,Write a program that reads two integers from the standard input and,Statements
Exercise 5.24,Revise your program to throw an exception if the second number is,Statements
Exercise 5.25,Revise your program from the previous exercise to use a try block to,Statements
Exercise 6.1,What is the difference between a parameter and an argument?,Functions
Exercise 6.2,Indicate which of the following functions are in error and why. Suggest,Functions
Exercise 6.3,Write and test your own version of fact..,Functions
Exercise 6.4,"Write a function that interacts with the user, asking for a number and",Functions
Exercise 6.5,Write a function to return the absolute value of its argument..,Functions
Exercise 6.6,"Explain the differences between a parameter, a local variable, and a local",Functions
Exercise 6.7,Write a function that returns 0 when it is first called and then generates,Functions
Exercise 6.8,Write a header file named Chapter6.h that contains declarations for,Functions
Exercise 6.9,Write your own versions of the fact . cc and factMain. cc files. These.,Functions
Exercise 6.10,"Using pointers, write a function to swap the values of two ints. Test",Functions
Exercise 6.11,Write and test your own version of reset that takes a reference..,Functions
Exercise 6.12,Rewrite the program from exercise 6.10 in S 6.2.1 (p. 210) to use refer-,Functions
Exercise 6.13,"Assuming T is the name of a type, explain the difference between a",Functions
Exercise 6.14,Give an example of when a parameter should be a reference type. Give,Functions
Exercise 6.15,Explain the rationale for the type of each of find_char's parameters.,Functions
Exercise 6.16,"The following function, although legal, is less useful than it might be",Functions
Exercise 6.17,Write a function to determine whether a string contains any capital..,Functions
Exercise 6.18,Write declarations for each of the following functions. When you write,Functions
Exercise 6.19,"Given the following declarations, determine which calls are legal and",Functions
Exercise 6.20,When should reference parameters be references to const? What hap.,Functions
Exercise 6.21,Write a function that takes an int and a pointer to an int and returns,Functions
Exercise 6.22,Write a function to swap two int pointers.,Functions
Exercise 6.23,Write your own versions of each of the print functions presented in,Functions
Exercise 6.24,Explain the behavior of the following function. If there are problems in,Functions
Exercise 6.25,Write a main function that takes two arguments. Concatenate the sup,Functions
Exercise 6.26,Write a program that accepts the options presented in this section. Print,Functions
Exercise 6.27,Write a function that takes an initializer_list<int> and pro,Functions
Exercise 6.28,"In the second version of error_msg that has an ErrCode parameter,",Functions
Exercise 6.29,When you use an initializer_1ist in a range for would you ever.,Functions
Exercise 6.30,Compile the version of str_subrange as presented on page 223 to see,Functions
Exercise 6.31,When is it valid to return a reference? A reference to const?,Functions
Exercise 6.32,"Indicate whether the following function is legal. If so, explain what it",Functions
Exercise 6.33,Write a recursive function to print the contents of a vector.,Functions
Exercise 6.34,What would happen if the stopping condition in factoria1 were,Functions
Exercise 6.35,"In the call to factoria1, why did we pass va1 - 1 rather than va1--?",Functions
Exercise 6.36,Write the declaration for a function that returns a reference to an array,Functions
Exercise 6.37,Write three additional declarations for the function in the previous ex-,Functions
Exercise 6.38,Revise the arrPtr function on to return a reference to the array.,Functions
Exercise 6.39,Explain the effect of the second declaration in each one of the following.,Functions
Exercise 6.40,"Which, if either, of the following declarations are errors? Why?.",Functions
Exercise 6.41,"Which, if any, of the following calls are illegal? Why? Which, if any, are.",Functions
Exercise 6.42,"Give the second parameter of make_plura1 (S 6.3.2, p. 224) a default",Functions
Exercise 6.43,Which one of the following declarations and definitions would you put,Functions
Exercise 6.44,Rewrite the isShorter function from S 6.2.2 (p. 211) to be inline.,Functions
Exercise 6.45,Review the programs you've written for the earlier exercises and decide,Functions
Exercise 6.46,"Would it be possible to define isShorter as a constexpr? If so, do",Functions
Exercise 6.47,Revise the program you wrote in the exercises in S 6.3.2 (p. 228) that,Functions
Exercise 6.48,Explain what this loop does and whether it is a good use of assert:,Functions
Exercise 6.49,What is a candidate function? What is a viable function?,Functions
Exercise 6.50,"Given the declarations for f from page 242, list the viable functions, if",Functions
Exercise 6.51,Write all four versions of f. Each function should print a distinguish-,Functions
Exercise 6.52,"Given the following declarations,",Functions
Exercise 6.53,Explain the effect of the second declaration in each one of the following,Functions
Exercise 6.54,Write a declaration for a function that takes two int parameters and,Functions
Exercise 6.55,"Write four functions that add, subtract, multiply, and divide two int",Functions
Exercise 6.56,Call each element in the vector and print their result.,Functions
Exercise 7.1,Write a version of the transaction-processing program from S 1.6 (p. 24).,Classes
Exercise 7.2,Add the combine and isbn members to the Sales_data class you,Classes
Exercise 7.3,Revise your transaction-processing program from S 7.1.1 (p. 256) to use,Classes
Exercise 7.4,Write a class named Person that represents the name and address of,Classes
Exercise 7.5,Provide operations in your Person class to return the name and ad-,Classes
Exercise 7.6,"Define your own versions of the add, read, and print functions",Classes
Exercise 7.7,Rewrite the transaction-processing program you wrote for the exercises,Classes
Exercise 7.8,Why does read define its Sales_data parameter as a plain reference,Classes
Exercise 7.9,Add operations to read and print Person objects to the code you wrote,Classes
Exercise 7.10,What does the condition in the following if statement do?,Classes
Exercise 7.11,Add constructors to your Sales_data class and write a program to.,Classes
Exercise 7.12,Move the definition of the Sales data constructor that takes an,Classes
Exercise 7.13,Rewrite the program from page 255 to use the istream constructor.,Classes
Exercise 7.14,Write a version of the default constructor that explicitly initializes the,Classes
Exercise 7.15,Add appropriate constructors to your Person class.,Classes
Exercise 7.16,"What, if any, are the constraints on where and how often an access spec-",Classes
Exercise 7.17,"What, if any, are the differences between using class or struct?",Classes
Exercise 7.18,What is encapsulation? Why is it useful?,Classes
Exercise 7.19,Indicate which members of your Person class you would declare as,Classes
Exercise 7.20,When are friends useful? Discuss the pros and cons of using friends,Classes
Exercise 7.21,Update your Sales_data class to hide its implementation. The pro-,Classes
Exercise 7.22,Update your Person class to hide its implementation,Classes
Exercise 7.23,Write your own version of the Screen class..,Classes
Exercise 7.24,Give your Screen class three constructors: a default constructor; a con-,Classes
Exercise 7.25,Can Screen safely rely on the default versions of copy and assign-,Classes
Exercise 7.26,Define Sales_data: :avg_ price as an inline function..,Classes
Exercise 7.27,"Add the move, set, and display operations to your version of.",Classes
Exercise 7.28,"What would happen in the previous exercise if the return type of move,",Classes
Exercise 7.29,"Revise your Screen class so that move, set, and display functions",Classes
Exercise 7.30,It is legal but redundant to refer to members through the this pointer.,Classes
Exercise 7.31,"Define a pair of classes X and Y, in which x has a pointer to Y, and Y has.",Classes
Exercise 7.32,Define your own versions of Screen and Window_mgr in which,Classes
Exercise 7.33,What would happen if we gave Screen a size member defined as,Classes
Exercise 7.34,What would happen if we put the typedef of pos in the Screen class,Classes
Exercise 7.35,"Explain the following code, indicating which definition of Type or",Classes
Exercise 7.36,The following initializer is in error. Identify and fix the problem.,Classes
Exercise 7.37,"Using the version of Sales_data from this section, determine which",Classes
Exercise 7.38,We might want to supply cin as a default argument to the constructor,Classes
Exercise 7.39,Would it be legal for both the constructor that takes a string and the,Classes
Exercise 7.40,Choose one of the following abstractions (or an abstraction of your,Classes
Exercise 7.41,Rewrite your own version of the Sales_data class to use delegating,Classes
Exercise 7.42,"For the class you wrote for exercise 7.40 in S 7.5.1 (p. 291), decide",Classes
Exercise 7.43,Assume we have a class named NoDefau1t that has a constructor that.,Classes
Exercise 7.44,"Is the following declaration legal? If not, why not?.",Classes
Exercise 7.45,What if we defined the vector in the previous execercise to hold ob,Classes
Exercise 7.46,"Which, if any, of the following statements are untrue? Why?.",Classes
Exercise 7.47,Explain whether the Sales_data constructor that takes a string,Classes
Exercise 7.48,"Assuming the Sales_data constructors are not explicit, what op-",Classes
Exercise 7.49,"For each of the three following declarations of combine, explain what",Classes
Exercise 7.50,Determine whether any of your Person class constructors should be,Classes
Exercise 7.51,Why do you think vector defines its single-argument constructor as,Classes
Exercise 7.52,"Using our first version of Sa1es_data from  2.6.1 (p. 72), explain the.",Classes
Exercise 7.53,Define your own version of Debug.,Classes
Exercise 7.54,Should the members of Debug that begin with set be declared as,Classes
Exercise 7.55,"Is the Dat a class from $ 7.5.5 (p. 298) a literal class? If not, why not? If",Classes
Exercise 7.56,What is a static class member? What are the advantages of static,Classes
Exercise 7.57,Write your own version of the Account class.,Classes
Exercise 7.58,"Which, if any, of the following static data member declarations and.",Classes
Exercise 8.1,Write a function that takes and returns an istream&. The function,Streams and IO Library
Exercise 8.2,"Test your function by calling it, passing cin as an argument.",Streams and IO Library
Exercise 8.3,What causes the following whi1e to terminate?,Streams and IO Library
Exercise 8.4,Write a function to open a file for input and read its contents into a.,Streams and IO Library
Exercise 8.5,Rewrite the previous program to store each word in a separate element.,Streams and IO Library
Exercise 8.6,Rewrite the bookstore program from S 7.1.1 (p. 256) to read its transac-,Streams and IO Library
Exercise 8.7,Revise the bookstore program from the previous section to write its out-,Streams and IO Library
Exercise 8.8,Revise the program from the previous exercise to append its output to,Streams and IO Library
Exercise 8.9,Use the function you wrote for the first exercise in $ 8.1.2 (p. 314) to print,Streams and IO Library
Exercise 8.10,Write a program to store each line from a file in a vector<string>.,Streams and IO Library
Exercise 8.11,The program in this section defined its istringstream object inside,Streams and IO Library
Exercise 8.12,Why didn't we use in-class initializers in PersonInfo?,Streams and IO Library
Exercise 8.13,Rewrite the phone number program from this section to read from a,Streams and IO Library
Exercise 8.14,Why did we declare entry and nums as const auto &?,Streams and IO Library
Exercise 9.1,"Which is the most appropriate- a vector, a deque, or a list-for the",Sequential Containers
Exercise 9.2,Define a list that holds elements that are deques that hold ints..,Sequential Containers
Exercise 9.3,What are the constraints on the iterators that form iterator ranges?,Sequential Containers
Exercise 9.4,Write a function that takes a pair of iterators to a vector<int > and an,Sequential Containers
Exercise 9.5,Rewrite the previous program to return an iterator to the requested ele-,Sequential Containers
Exercise 9.6,What is wrong with the following program? How might you correct it?.,Sequential Containers
Exercise 9.7,What type should be used as the index into a vector of ints?.,Sequential Containers
Exercise 9.8,What type should be used to read elements in a 1ist of strings? To,Sequential Containers
Exercise 9.9,What is the difference between the begin and cbegin functions?,Sequential Containers
Exercise 9.10,What are the types of the following four objects?,Sequential Containers
Exercise 9.11,Show an example of each of the six ways to create and initialize a,Sequential Containers
Exercise 9.12,Explain the differences between the constructor that takes a container,Sequential Containers
Exercise 9.13,How would you initialize a vector<double> from a 1ist<int>?,Sequential Containers
Exercise 9.14,Write a program to assign the elements from a 1ist of char* pointers,Sequential Containers
Exercise 9.15,Write a program to determine whether two vector<int >s are equal..,Sequential Containers
Exercise 9.16,"Repeat the previous program, but compare elements in a 1ist<int >",Sequential Containers
Exercise 9.17,"Assuming c1 and c2 are containers, what (if any) constraints does the.",Sequential Containers
Exercise 9.18,Write a program to read a sequence of strings from the standard input,Sequential Containers
Exercise 9.19,Rewrite the program from the previous exercise to use a 1ist. List the,Sequential Containers
Exercise 9.20,Write a program to copy elements from a 1ist<int > into two deques.,Sequential Containers
Exercise 9.21,Explain how the loop from page 345 that used the return from insert,Sequential Containers
Exercise 9.22,"Assuming iv is a vector of ints, what is wrong with the following.",Sequential Containers
Exercise 3.16,"Write a program to print the size and contents of the vectors from exercise 3.13. Check whether your answers to that exercise were correct. If not, restudy $ 3.3.1 (p. 97) until you understand why you were wrong.","Strings, Vectors, and Arrays"
Exercise 3.17,"Read a sequence of words from cin and store the values a vector. Af- ter you've read all the words, process the vect or and change each word to uppercase. Print the transformed elements, eight words to a line..","Strings, Vectors, and Arrays"
Exercise 3.18,"Is the following program legal? If not, how might you fix it? vector<int> ivec; ivec[0] = 42;","Strings, Vectors, and Arrays"
Exercise 3.19,"List three ways to define a vector and give it ten elements, each with the value 42. Indicate whether there is a preferred way to do so and why,","Strings, Vectors, and Arrays"
Exercise 3.20,"Read a set of integers into a vector. Print the sum of each pair of adjacent elements. Change your program so that it prints the sum of the first and last elements, followed by the sum of the second and second-to-last, and so on.","Strings, Vectors, and Arrays"
Exercise 3.21,Redo the first exercise from  3.3.3 (p.105) using iterators.,"Strings, Vectors, and Arrays"
Exercise 3.22,"Revise the loop that printed the first paragraph in text to instead. change the elements in text that correspond to the first paragraph to all uppercase. After you've updated text, print its contents.","Strings, Vectors, and Arrays"
Exercise 3.23,"Write a program to create a vector with ten int elements. Using an. iterator, assign each element a value that is twice its current value. Test your program. by printing the vector.","Strings, Vectors, and Arrays"
Exercise 3.24,Redo the last exercise from  3.3.3 (p. 105) using iterators,"Strings, Vectors, and Arrays"
Exercise 3.25,Rewrite the grade clustering program from  3.3.3 (p. 104) using itera- tors instead of subscripts..,"Strings, Vectors, and Arrays"
Exercise 3.26,"In the binary search program on page 112, why did we write mid = beg + (end -beg)/2;instead of mid= (beg + end)/2;? 3.5 Arrays An array is a data structure that is similar to the library vector type ($ 3.3, p. 96) but offers a different trade-off between performance and flexibility. Like a vect or. an array is a container of unnamed objects of a single type that we access by posi- tion. Unlike a vector, arrays have fixed size; we cannot add elements to an array. Because arrays have fixed size, they sometimes offer better run-time performance for specialized applications. However, that run-time advantage comes at the cost of lost flexibility. If you don't know exactly how many elements you need, use a vector. 3.5.1 Defining and Initializing Built-in Arrays Arrays are a compound type (S 2.3, p.50).An array declarator has the form a [d] where a is the name being defined and d is the dimension of the array. The dimen sion specifies the number of elements and must be greater than zero. The number of elements in an array is part of the array's type. As a result, the dimension must be known at compile time, which means that the dimension must be a constant expression (S2.4.4, p. 65): unsigned cnt = 42; not a constant expression constexpr unsigned sz = 42; // constant expression // constexprsee $2.4.4 (p.66) int arr[10]; arrayof ten ints int *parr[sz]; //array of 42 pointers to int. string bad[cnt]; error: cnt is not a constant expression string strs [get_size()]; // okifget_sizeis constexpr,error otherwise By default, the elements in an array are default initialized ($ 2.2.1, p. 43) As with variables of built-in type, a default-initialized array of built-in WARNING type that is defined inside a function will have undefined values. When we define an array, we must specify a type for the array. We cannot use auto to deduce the type from a list of initializers. As with vector, arrays hold objects. Thus, there are no arrays of references.","Strings, Vectors, and Arrays"
Exercise 3.27,"Assuming txt_si ze is a function that takes no arguments and returns an int value, which of the following definitions are illegal? Explain why unsigned buf_size = 1024; a int ia[buf_size]; b int ia[4 *7-14]; (c) int ia[txt_size()]; d) char st[11] = ""fundamental"";","Strings, Vectors, and Arrays"
Exercise 3.28,What are the values in the following arrays? string sa[10]; int ia[10]; int main() string sa2[10]; int ia2 [10]; },"Strings, Vectors, and Arrays"
Exercise 3.29,List some of the drawbacks of using an array instead of a vector..,"Strings, Vectors, and Arrays"
Exercise 3.30,Identify the indexing errors in the following code constexpr size_t array_size = 10; int ia[array_size]; for (size t ix = 1; ix <= array_size; ++ix) ia[ix] = ix,"Strings, Vectors, and Arrays"
Exercise 3.31,Write a program to define an array of ten ints. Give each element the same value as its position in the array.,"Strings, Vectors, and Arrays"
Exercise 3.32,Copy the array you defined in the previous exercise into another array. Rewrite your program to use vect ors.,"Strings, Vectors, and Arrays"
